datetime,date,hour,day_of_week,month,is_weekend,temperature,flu_season_index,air_quality_index,emergency_admissions,icu_demand,staff_workload,bed_occupancy,emergency_admissions_lag_1h,emergency_admissions_lag_7h,emergency_admissions_lag_14h,icu_demand_lag_1h,icu_demand_lag_7h,icu_demand_lag_14h,emergency_admissions_rolling_3h,emergency_admissions_rolling_7h,emergency_admissions_rolling_14h
2025-07-08 09:01:54.727429,2025-07-08,9,1,7,0,9.825246502460905,0.046908642493462514,94.84820694447964,2,0,1,45,6.0,0.0,2.0,1.0,0.0,0.0,4.333333333333333,2.142857142857143,1.7857142857142858
2025-07-08 10:01:54.727429,2025-07-08,10,1,7,0,13.313137412277086,0.22553944907607987,77.55560087037128,2,0,1,63,2.0,0.0,2.0,0.0,0.0,0.0,3.3333333333333335,2.4285714285714284,1.7857142857142858
2025-07-08 11:01:54.727429,2025-07-08,11,1,7,0,11.961506638996731,0.1704805848806305,93.31906444431755,3,0,1,80,2.0,1.0,1.0,0.0,0.0,0.0,2.3333333333333335,2.7142857142857144,1.9285714285714286
2025-07-08 12:01:54.727429,2025-07-08,12,1,7,0,15.942741997785825,0.08239976093637162,98.71321288000155,6,1,2,66,3.0,1.0,4.0,0.0,0.0,1.0,3.6666666666666665,3.4285714285714284,2.0714285714285716
2025-07-08 13:01:54.727429,2025-07-08,13,1,7,0,12.27592777343637,0.1423304742441522,90.90386541893024,6,1,2,40,6.0,0.0,0.0,1.0,0.0,0.0,5.0,4.285714285714286,2.5
2025-07-08 14:01:54.727429,2025-07-08,14,1,7,0,10.76308889599413,0.10013297912093934,87.88090482849404,4,1,1,40,6.0,5.0,2.0,1.0,1.0,0.0,5.333333333333333,4.142857142857143,2.642857142857143
2025-07-08 15:01:54.727429,2025-07-08,15,1,7,0,19.396946306764665,0.17379402083653825,83.81158527025121,4,1,1,82,4.0,6.0,1.0,1.0,1.0,0.0,4.666666666666667,3.857142857142857,2.857142857142857
2025-07-08 16:01:54.727429,2025-07-08,16,1,7,0,14.322671098540397,0.26670018324439976,80.93229597986209,2,0,1,54,4.0,2.0,0.0,1.0,0.0,0.0,3.3333333333333335,3.857142857142857,3.0
2025-07-08 17:01:54.727429,2025-07-08,17,1,7,0,15.202584614063776,0.17079149532366059,80.59014252915509,0,0,0,87,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.5714285714285716,3.0
2025-07-08 18:01:54.727429,2025-07-08,18,1,7,0,10.725755441359633,0.1895167254979752,89.09118117128772,2,0,1,48,0.0,3.0,1.0,0.0,0.0,0.0,1.3333333333333333,3.4285714285714284,3.0714285714285716
2025-07-08 19:01:54.727429,2025-07-08,19,1,7,0,13.366851826424455,0.15562435413441283,92.53819350813238,5,1,2,61,2.0,6.0,1.0,0.0,1.0,0.0,2.3333333333333335,3.2857142857142856,3.357142857142857
2025-07-08 20:01:54.727429,2025-07-08,20,1,7,0,15.332767769129601,0.015349651933642771,90.35551208453244,1,0,0,79,5.0,6.0,0.0,1.0,1.0,0.0,2.6666666666666665,2.5714285714285716,3.4285714285714284
2025-07-08 21:01:54.727429,2025-07-08,21,1,7,0,11.547019267733095,0.06985756706282827,75.95230303580688,1,0,0,87,1.0,4.0,5.0,0.0,1.0,1.0,2.3333333333333335,2.142857142857143,3.142857142857143
2025-07-08 22:01:54.727429,2025-07-08,22,1,7,0,16.12709405503702,0.14760051882962483,84.81961540430474,3,0,1,37,1.0,4.0,6.0,0.0,1.0,1.0,1.6666666666666667,2.0,2.9285714285714284
2025-07-08 23:01:54.727429,2025-07-08,23,1,7,0,13.19808393024359,0.09307058512341143,93.7492021654919,1,0,0,84,3.0,2.0,2.0,0.0,0.0,0.0,1.6666666666666667,1.8571428571428572,2.857142857142857
2025-07-09 00:01:54.727429,2025-07-09,0,2,7,0,14.124918750620173,0.054529079328358265,84.27112234567169,1,0,0,41,1.0,0.0,2.0,0.0,0.0,0.0,1.6666666666666667,2.0,2.7857142857142856
2025-07-09 01:01:54.727429,2025-07-09,1,2,7,0,13.194880163311813,0.1512398525755315,86.09869839206482,2,0,1,70,1.0,2.0,3.0,0.0,0.0,0.0,1.3333333333333333,2.0,2.7142857142857144
2025-07-09 02:01:54.727429,2025-07-09,2,2,7,0,20.556834553526816,0.09684293803435509,93.13408144512466,0,0,0,64,2.0,5.0,6.0,0.0,1.0,1.0,1.0,1.2857142857142858,2.2857142857142856
2025-07-09 03:01:54.727429,2025-07-09,3,2,7,0,14.959508325786201,0.07743229295202442,89.83795918795275,2,0,0,35,0.0,1.0,6.0,0.0,0.0,1.0,1.3333333333333333,1.4285714285714286,2.0
2025-07-09 04:01:54.727429,2025-07-09,4,2,7,0,11.826867213132303,0.13919562523211423,82.28034762647178,6,1,2,50,2.0,1.0,4.0,0.0,0.0,1.0,2.6666666666666665,2.142857142857143,2.142857142857143
2025-07-09 05:01:54.727429,2025-07-09,5,2,7,0,17.46763473630957,0.039985277424651945,96.86238133582657,7,0,1,82,6.0,3.0,4.0,1.0,0.0,1.0,5.0,2.7142857142857144,2.357142857142857
2025-07-09 06:01:54.727429,2025-07-09,6,2,7,0,11.337469050086938,0.27832371992262217,74.87701205990436,4,1,1,55,7.0,1.0,2.0,0.0,0.0,0.0,5.666666666666667,3.142857142857143,2.5
2025-07-09 07:01:54.727429,2025-07-09,7,2,7,0,15.626590785014269,0.2603106293757717,99.86549345770975,3,0,1,85,4.0,1.0,0.0,1.0,0.0,0.0,4.666666666666667,3.4285714285714284,2.7142857142857144
2025-07-09 08:01:54.727429,2025-07-09,8,2,7,0,9.120989628360677,0.2122861757221606,73.56557735428711,4,1,1,30,3.0,2.0,2.0,0.0,0.0,0.0,3.6666666666666665,3.7142857142857144,2.857142857142857
2025-07-09 09:01:54.727429,2025-07-09,9,2,7,0,11.015441853304711,0.031864148276536865,70.44849913312717,2,0,1,46,4.0,0.0,5.0,1.0,0.0,1.0,3.0,4.0,2.642857142857143
2025-07-09 10:01:54.727429,2025-07-09,10,2,7,0,15.590583707607374,0.2327631763409079,96.70056703446295,2,0,1,64,2.0,2.0,1.0,0.0,0.0,0.0,2.6666666666666665,4.0,2.7142857142857144
2025-07-09 11:01:54.727429,2025-07-09,11,2,7,0,17.215399739986236,0.24238719843270567,77.34860525097868,6,1,2,56,2.0,6.0,1.0,0.0,1.0,0.0,3.3333333333333335,4.0,3.0714285714285716
2025-07-09 12:01:54.727429,2025-07-09,12,2,7,0,15.514104843569916,0.2303293853143013,91.89098882340163,2,0,1,79,6.0,7.0,3.0,1.0,0.0,0.0,3.3333333333333335,3.2857142857142856,3.0
2025-07-09 13:01:54.727429,2025-07-09,13,2,7,0,14.653055152835282,0.03418976613577235,94.33046124796208,2,0,1,79,2.0,4.0,1.0,0.0,1.0,0.0,3.3333333333333335,3.0,3.0714285714285716
2025-07-09 14:01:54.727429,2025-07-09,14,2,7,0,14.096688913232137,0.19317238712032941,95.7695917309635,3,0,1,31,2.0,3.0,1.0,0.0,0.0,0.0,2.3333333333333335,3.0,3.2142857142857144
2025-07-09 15:01:54.727429,2025-07-09,15,2,7,0,10.564434028897722,0.2502974387248196,99.747827069925,7,2,1,65,3.0,4.0,2.0,0.0,1.0,0.0,4.0,3.4285714285714284,3.5714285714285716
2025-07-09 16:01:54.727429,2025-07-09,16,2,7,0,12.840467374815878,0.1732060203659003,78.82119130119997,6,1,2,30,7.0,2.0,0.0,2.0,0.0,0.0,5.333333333333333,4.0,4.0
2025-07-09 17:01:54.727429,2025-07-09,17,2,7,0,13.618083687120642,0.1939222125684267,91.30730025781777,13,2,4,39,6.0,2.0,2.0,1.0,0.0,0.0,8.666666666666666,5.571428571428571,4.785714285714286
2025-07-09 18:01:54.727429,2025-07-09,18,2,7,0,18.17136667865675,0.13750904382789184,73.46199574842484,1,0,0,60,13.0,6.0,6.0,2.0,1.0,1.0,6.666666666666667,4.857142857142857,4.428571428571429
2025-07-09 19:01:54.727429,2025-07-09,19,2,7,0,16.030854868705386,0.15861219596521578,82.20427874070549,3,0,1,86,1.0,2.0,7.0,0.0,0.0,0.0,5.666666666666667,5.0,4.142857142857143
2025-07-09 20:01:54.727429,2025-07-09,20,2,7,0,9.710879533911802,0.010313057505517564,95.43915079937771,2,0,1,66,3.0,2.0,4.0,0.0,0.0,1.0,2.0,5.0,4.0
2025-07-09 21:01:54.727429,2025-07-09,21,2,7,0,15.972251908184388,0.19168890659198537,81.02974138177325,0,0,0,34,2.0,3.0,3.0,0.0,0.0,0.0,1.6666666666666667,4.571428571428571,3.7857142857142856
2025-07-09 22:01:54.727429,2025-07-09,22,2,7,0,13.844753158751054,0.024434163867347758,87.73286141606842,4,1,1,70,0.0,7.0,4.0,0.0,2.0,1.0,2.0,4.142857142857143,3.7857142857142856
